Date,Close
2025-01-02,400.50
2025-01-03,401.20
2025-01-06,402.10
2025-01-07,401.80
2025-01-08,403.00
2025-01-09,404.15
2025-01-10,403.90
2025-01-13,405.00
2025-01-14,406.20
2025-01-15,405.80
2025-01-16,407.10
2025-01-17,408.00
2025-01-21,409.15
2025-01-22,408.90
2025-01-23,410.20
2025-01-24,411.10
2025-01-27,412.30
2025-01-28,411.90
2025-01-29,413.00
2025-01-30,414.25
2025-01-31,413.80
2025-02-03,415.00
2025-02-04,416.10
2025-02-05,415.70
2025-02-06,417.00
2025-02-07,418.15
2025-02-10,417.90
2025-02-11,419.10
2025-02-12,420.20
2025-02-13,419.80
2025-02-14,421.00
2025-02-17,422.30
2025-02-18,421.90
2025-02-19,423.10
2025-02-20,424.25
2025-02-21,423.80
2025-02-24,425.00
2025-02-25,426.15
2025-02-26,425.90
2025-02-27,427.10
2025-02-28,428.20
2025-03-03,427.80
2025-03-04,429.00
2025-03-05,430.30
2025-03-06,429.90
2025-03-07,431.10
2025-03-10,432.25
2025-03-11,431.80
2025-03-12,433.00
2025-03-13,434.10
2025-03-14,433.70
2025-03-17,435.00
2025-03-18,436.15
2025-03-19,435.90
2025-03-20,437.10
2025-03-21,438.20
2025-03-24,437.80
2025-03-25,439.00
2025-03-26,440.35
2025-03-27,439.90
2025-03-28,441.10
2025-03-31,442.25
2025-04-01,441.80
2025-04-02,443.00
2025-04-03,444.15
2025-04-04,443.90
2025-04-07,445.00
2025-04-08,446.20
2025-04-09,445.80
2025-04-10,447.10
2025-04-11,448.00
2025-04-14,449.15
2025-04-15,448.90
2025-04-16,450.20
2025-04-17,451.10
2025-04-21,452.30
2025-04-22,451.90
2025-04-23,453.00
2025-04-24,454.25
2025-04-25,453.80
2025-04-28,455.00
2025-04-29,456.10
2025-04-30,455.70
2025-05-01,457.00
2025-05-02,458.15
2025-05-05,457.90
2025-05-06,459.10
2025-05-07,460.20
2025-05-08,459.80
2025-05-09,461.00
2025-05-12,462.30
2025-05-13,461.90
2025-05-14,463.10
2025-05-15,464.25
2025-05-16,463.80
2025-05-19,465.00
2025-05-20,466.15
2025-05-21,465.90
2025-05-22,467.10
2025-05-23,468.20
2025-05-27,467.80
2025-05-28,469.00
2025-05-29,470.35
2025-05-30,469.90
2025-06-02,471.10
2025-06-03,472.25
2025-06-04,471.80
2025-06-05,473.00
2025-06-06,474.15
2025-06-09,473.90
2025-06-10,475.00
2025-06-11,476.20
2025-06-12,475.80
2025-06-13,477.10
2025-06-16,478.00
2025-06-17,479.15
2025-06-18,478.90
2025-06-19,480.20
2025-06-20,481.10
2025-06-23,482.30
2025-06-24,481.90
2025-06-25,483.00
2025-06-26,484.25
2025-06-27,483.80
2025-06-30,485.00
2025-07-01,486.10
2025-07-02,485.70
2025-07-03,487.00
2025-07-07,488.15
2025-07-08,487.90
2025-07-09,489.10
2025-07-10,490.20
2025-07-11,489.80
2025-07-14,491.00
2025-07-15,492.30
2025-07-16,491.90
2025-07-17,493.10
2025-07-18,494.25
2025-07-21,493.80
2025-07-22,495.00
2025-07-23,496.15
2025-07-24,495.90
2025-07-25,497.10
2025-07-28,498.20
2025-07-29,497.80
2025-07-30,499.00
2025-07-31,500.35
2025-08-01,499.90
2025-08-04,501.10
2025-08-05,502.25
2025-08-06,501.80
2025-08-07,503.00
2025-08-08,504.15
2025-08-11,503.90
2025-08-12,505.00
2025-08-13,506.20
2025-08-14,505.80
2025-08-15,507.10
2025-08-18,508.00
2025-08-19,509.15
2025-08-20,508.90
2025-08-21,510.20
2025-08-22,511.10
2025-08-25,512.30
2025-08-26,511.90
2025-08-27,513.00
2025-08-28,514.25
2025-08-29,513.80
2025-09-02,515.00
2025-09-03,516.10
2025-09-04,515.70
2025-09-05,517.00
2025-09-08,518.15
2025-09-09,517.90
2025-09-10,519.10
2025-09-11,520.20
2025-09-12,519.80
2025-09-15,510.00
2025-09-16,495.50
2025-09-17,480.00
2025-09-18,460.20
2025-09-19,455.00
2025-09-22,442.30
2025-09-23,438.10
2025-09-24,445.00
2025-09-25,448.90
2025-09-26,450.20
2025-09-29,455.10
2025-09-30,458.00
2025-10-01,460.15
2025-10-02,462.90
2025-10-03,465.10
2025-10-06,468.20
2025-10-07,467.80
2025-10-08,469.00
2025-10-09,470.35
2025-10-10,469.90
2025-10-13,471.10
2025-10-14,472.25
2025-10-15,471.80
2025-10-16,473.00
2025-10-17,474.15
2025-10-20,473.90
2025-10-21,475.00
2025-10-22,476.20
2025-10-23,475.80
2025-10-24,477.10
2025-10-27,478.00
2025-10-28,479.15
2025-10-29,478.90
2025-10-30,480.20
2025-10-31,481.10
2025-11-03,482.30
2025-11-04,481.90
2025-11-05,483.00
2025-11-06,484.25
2025-11-07,483.80
2025-11-10,485.00
2025-11-11,486.10
2025-11-12,485.70
2025-11-13,487.00
2025-11-14,488.15
2025-11-17,487.90
2025-11-18,489.10
2025-11-19,490.20
2025-11-20,489.80
2025-11-21,491.00
2025-11-24,492.30
2025-11-25,491.90
2025-11-26,493.10
2025-11-28,494.25
2025-12-01,493.80
2025-12-02,495.00
2025-12-03,496.15
2025-12-04,495.90
2025-12-05,497.10
2025-12-08,498.20
2025-12-09,497.80
2025-12-10,499.00
2025-12-11,500.35
2025-12-12,499.90
2025-12-15,501.10
2025-12-16,502.25
2025-12-17,501.80
2025-12-18,503.00
2025-12-19,504.15
2025-12-22,503.90
2025-12-23,505.00
2025-12-24,506.20
2025-12-26,505.80
2025-12-29,507.10
2025-12-30,508.00
2025-12-31,509.15
